,MonitorValue,SensorID,Time,raw,diff
415208,0.05,044A02,2017-09-17 10:25:43,0.06,0.009999999999999995
415215,0.05,044A02,2017-09-17 10:25:54,0.05,0.0
415216,0.05,044A02,2017-09-17 10:26:05,0.07,0.020000000000000004
415223,0.05,044A02,2017-09-17 10:26:15,0.05,0.0
415224,0.05,044A02,2017-09-17 10:26:26,5.1,5.05
415231,0.05,044A02,2017-09-17 10:26:36,0.05,0.0
415232,0.05,044A02,2017-09-17 10:26:47,0.06,0.009999999999999995
415239,0.05,044A02,2017-09-17 10:26:58,0.05,0.0
415240,0.05,044A02,2017-09-17 10:27:08,0.07,0.020000000000000004
415247,0.05,044A02,2017-09-17 10:27:19,0.05,0.0
415248,0.05,044A02,2017-09-17 10:27:29,40.72,40.67
415255,0.05,044A02,2017-09-17 10:27:40,0.05,0.0
415256,0.05,044A02,2017-09-17 10:27:51,0.06,0.009999999999999995
415263,0.05,044A02,2017-09-17 10:28:01,0.05,0.0
415264,0.05,044A02,2017-09-17 10:28:12,0.07,0.020000000000000004
415271,0.05,044A02,2017-09-17 10:28:22,0.05,0.0
415272,0.05,044A02,2017-09-17 10:28:33,110.7,110.65
415279,0.05,044A02,2017-09-17 10:28:43,0.05,0.0
415280,0.05,044A02,2017-09-17 10:28:54,0.06,0.009999999999999995
415287,0.05,044A02,2017-09-17 10:29:04,0.05,0.0
415288,0.05,044A02,2017-09-17 10:29:15,0.07,0.020000000000000004
415295,0.05,044A02,2017-09-17 10:29:25,0.05,0.0
415296,0.05,044A02,2017-09-17 10:29:36,140.7,140.64999999999998
415303,0.05,044A02,2017-09-17 10:29:47,0.05,0.0
415304,0.05,044A02,2017-09-17 10:29:59,0.06,0.009999999999999995
415311,0.05,044A02,2017-09-17 10:30:10,0.05,0.0
415312,0.05,044A02,2017-09-17 10:30:20,0.07,0.020000000000000004
415319,0.05,044A02,2017-09-17 10:30:31,0.05,0.0
415320,0.05,044A02,2017-09-17 10:30:42,96.33,96.28
415327,0.05,044A02,2017-09-17 10:30:52,0.05,0.0
415328,0.05,044A02,2017-09-17 10:31:03,0.06,0.009999999999999995
415335,0.05,044A02,2017-09-17 10:31:13,0.05,0.0
415336,0.05,044A02,2017-09-17 10:31:24,0.08,0.03
415343,0.05,044A02,2017-09-17 10:31:34,0.05,0.0
415344,0.05,044A02,2017-09-17 10:31:45,99.46,99.41
